Name; Value; Type; Description
box; cmd; ; Draw a bbox  Arguments:  minx miny miny maxx maxy maxz <lifetime = 10.0> <r g b a> 
break; cmd; ; 
break; cmd; ; 
breakable_disable_gib_limit; 0; sv; 
breakable_multiplayer; 1; sv; 
broadcaster_openmenu; cmd; ; 
buddha; 0; sv, nf, cheat; Player takes damage but won't die
budget_averages_window; 30; cl, a; number of frames to look at when figuring out average frametimes
budget_background_alpha; 128; cl, a; how translucent the budget panel is
budget_bargraph_background_alpha; 128; cl, a; how translucent the budget panel is
budget_bargraph_range_ms; 16; cl, a; budget bargraph range in milliseconds
budget_history_numsamplesvisible; 100; cl, a; number of samples to draw in the budget history window.  The lower the better as far as rendering overhead of the budget panel
budget_history_range_ms; 66; cl, a; budget history range in milliseconds
budget_panel_bottom_of_history_fraction; 0; cl, a; number between 0 and 1
budget_panel_height; 768; cl, a; height in pixels of the budget panel
budget_panel_width; 512; cl, a; width in pixels of the budget panel
budget_panel_x; 0; cl, a; number of pixels from the left side of the game screen to draw the budget panel
budget_panel_y; 50; cl, a; number of pixels from the top side of the game screen to draw the budget panel
budget_peaks_window; 30; cl, a; number of frames to look at when figuring out peak frametimes
budget_show_averages; 0; cl, a; enable/disable averages in the budget panel
budget_show_history; 1; cl, a; turn history graph off and on. . good to turn off on low end
budget_show_peaks; 1; cl, a; enable/disable peaks in the budget panel
bug; cmd; ; bug [auto_fill_tokens] [-title <text>] [-noscreenshot] : Activate the bug reporter.
bug_swap; cmd; ; Automatically swaps the current weapon for the bug bait and back again.
building_cubemaps; 0; cl; 
c_maxdistance; 200; cl, a; 
c_maxpitch; 90; cl, a; 
c_maxyaw; 135; cl, a; 
c_mindistance; 30; cl, a; 
c_minpitch; 0; cl, a; 
c_minyaw; -135; cl, a; 
c_orthoheight; 100; cl, a; 
c_orthowidth; 100; cl, a; 
c_thirdpersonshoulder; 0; cl, a; 
c_thirdpersonshoulderaimdist; 120; cl, a; 
c_thirdpersonshoulderdist; 40; cl, a; 
c_thirdpersonshoulderheight; 5; cl, a; 
c_thirdpersonshoulderoffset; 20; cl, a; 
cam_collision; 1; cl, a; When in thirdperson and cam_collision is set to 1, an attempt is made to keep the camera from passing though walls.
cam_command; cmd; ; Tells camera to change modes
cam_idealdelta; 4; cl, a; Controls the speed when matching offset to ideal angles in thirdperson view
cam_idealdist; 150; cl, a; 
cam_ideallag; 4; cl, a; Amount of lag used when matching offset to ideal angles in thirdperson view
cam_idealpitch; 0; cl, a; 
cam_idealyaw; 0; cl, a; 
cam_showangles; 0; cl, cheat; When in thirdperson, print viewangles/idealangles/cameraoffsets to the console.
cam_snapto; 0; cl, a; 
camdistance; cmd; ; 
camdistance; cmd; ; 
cameragrip; cmd; ; 
cameragrip; cmd; ; 
camerayawgrip; cmd; ; 
camerayawgrip; cmd; ; 
camerazoomin; cmd; ; 
camerazoomout; cmd; ; 
camin; cmd; ; 
camin; cmd; ; 
cammousemove; cmd; ; 
cammousemove; cmd; ; 
camortho; cmd; ; Switch to orthographic camera.
camout; cmd; ; 
camout; cmd; ; 
campitchdown; cmd; ; 
campitchdown; cmd; ; 
campitchup; cmd; ; 
campitchup; cmd; ; 
camyawleft; cmd; ; 
camyawleft; cmd; ; 
camyawright; cmd; ; 
camyawright; cmd; ; 
can_show_full_ui; cmd; ; Check show full UI stat
cancelselect; cmd; ; 
cast_hull; cmd; ; Tests hull collision detection
cast_ray; cmd; ; Tests collision detection
cc_captiontrace; 1; cl; Show missing closecaptions (0 = no, 1 = devconsole, 2 = show in hud)
cc_emit; cmd; ; Emits a closed caption
cc_findsound; cmd; ; Searches for soundname which emits specified text.
cc_flush; cmd; ; Flushes async'd captions.
cc_lang; 0; cl, a; Current close caption language (emtpy = use game UI language)
cc_linger_time; 1; cl, a; Close caption linger time.
cc_minvisibleitems; 1; cl; Minimum number of caption items to show.
cc_norepeat; 5; sv; In multiplayer games, don't repeat captions more often than this many seconds.
cc_predisplay_time; 0; cl, a; Close caption delay before showing caption.
cc_random; cmd; ; Emits a random caption
cc_sentencecaptionnorepeat; 4; cl; How often a sentence can repeat.
cc_showblocks; cmd; ; Toggles showing which blocks are pending/loaded async.
cc_showmissing; 0; sv, rep; Show missing closecaption entries.
cc_subtitles; 0; cl, a, xbox_archive; If set, don't show sound effect captions, just voice overs (i.e., won't help hearing impaired players).
cg_start_loading; cmd; ; Listen server started loading
changelevel; cmd; ; changelevel <mapname> :Multiplayer change level.
changelevel2; cmd; ; changelevel2 <mapname> :Singe player change level.
chat_channel_debug; cmd; ; Print members of a chat channel
chat_clear; cmd; ; Clears all chat history
chat_dump_channels; cmd; ; 
chat_join; cmd; ; Join a chat channel
chat_leave; cmd; ; Leave a chat channel
chat_say; cmd; ; Send a message to the specified channel
chat_sound; true; per-user; 
chat_wheel_phrase_0; 62; per-user; 
chat_wheel_phrase_1; 1; per-user; 
chat_wheel_phrase_2; 2; per-user; 
chat_wheel_phrase_3; 78; per-user; 
chat_wheel_phrase_4; 54; per-user; 
chat_wheel_phrase_5; 44; per-user; 
chat_wheel_phrase_6; 3; per-user; 
chat_wheel_phrase_7; 66; per-user; 
chatwheel; cmd; ; Executes the highlighted chatwheel menu item
chatwheel; cmd; ; Opens chatwheel menu while held
chatwheel_say; cmd; ; Send a chatwheel message. Usage: chatwheel_say <messagenum>
check_collision; cmd; ; Tests entity collision
check_dpi; cmd; ; Show the currently detected DPI.
cl_address_try_count; 4; release; Number of tries for each address in the list, no effect if only one address
cl_aggregate_particles; 0; ; 
cl_allowupload; 1; a; Client uploads customization files
cl_anglespeedkey; 0; cl; 
cl_anim_queue_changes; 1; cl; 
cl_animationinfo; cmd; ; Hud element to examine.
cl_backspeed; 450; cl, cheat; 
cl_box; cmd; ; Draw a bbox  Arguments:  minx miny miny maxx maxy maxz <lifetime = 10.0> <r g b a> 
cl_burninggibs; 0; cl; A burning player that gibs has burning gibs.
cl_cache_sendtable; 1; ; Cache sendtables
cl_camera_follow_bone_index; -2; cl, cheat; Index of the bone to follow.  -2 == disabled.  -1 == root bone.  0+ is bone index.
cl_cameraoverride_shadow_depth_bias; 0; cl; 
cl_cameraoverride_shadow_end; 0; cl; 
cl_chat_active; 0; cl; 
cl_chat_wipehistory; 0; cl, a; Wipes chat history after all chat text faded out
cl_chatfilters; 31; cl, a; Stores the chat filter settings 
cl_class; 0; cl, a, user; Default class when joining a game
cl_clearhinthistory; cmd; ; Clear memory of client side hints displayed to the player.
cl_clock_correction; 1; cheat; Enable/disable clock correction on the client.
cl_clock_correction_adjustment_max_amount; 200; cheat; Sets the maximum number of milliseconds per second it is allowed to correct the client clock. It will only correct this amount if the difference between the client and server clock is equal to or larger than cl_clock_correction_adjustment_max_offset.
cl_clock_correction_adjustment_max_offset; 90; cheat; As the clock offset goes from cl_clock_correction_adjustment_min_offset to this value (in milliseconds), it moves towards applying cl_clock_correction_adjustment_max_amount of adjustment. That way, the response is small when the offset is small.
cl_clock_correction_adjustment_min_offset; 10; cheat; If the clock offset is less than this amount (in milliseconds), then no clock correction is applied.
cl_clock_correction_force_server_tick; 999; cheat; Force clock correction to match the server tick + this offset (-999 disables it).
cl_clock_showdebuginfo; 0; cheat; Show debugging info about the clock drift. 
cl_clockdbg; 0; ; 
cl_clockdrift_max_ms; 150; cheat; Maximum number of milliseconds the clock is allowed to drift before the client snaps its clock to the server's.
cl_clockdrift_max_ms_threadmode; 0; cheat; Maximum number of milliseconds the clock is allowed to drift before the client snaps its clock to the server's.
cl_cmdrate; 60; a, user; Max number of command packets sent to server per second
cl_connectionretrytime; 30; release; Number of seconds over which to spread retry attempts.
cl_consistencycheck_interval; 180; rep; Perform a consistency check after this amount of time (seconds) has passed since the last.
cl_constraints_enable; 1; ; 
cl_customsounds; 0; cl; Enable customized player sound playback
cl_debug_overlay_fullposition; 0; cl; 
cl_debug_player_use; 0; cl; Visualizes +use logic for the given range. Green cross=trace success, Red cross=trace too far, Green box=radius success
cl_debugoverlay_toggle; cmd; ; Toggles visibility of the debug overlay system.
cl_decal_clear_all_entities; cmd; ; Clears decals from all entities
cl_decal_clear_world; cmd; ; Clears world decals
cl_decal_debug; cmd; ; Toggles client decal debug visualization
cl_demoviewoverride; 0; cl; Override view during demo playback
cl_destroy_ragdolls; cmd; ; Destroys all client-side ragdolls
cl_dev_simulate_gcdown; cmd; ; <state> Turn on/off simulated GC communications failure (GC is down in a way that we know it is down)
cl_disable_ragdolls; 0; cl, cheat; 
cl_display_game_events; 0; cl, cheat; 
cl_dormant_spew; 0; cl; Spew state on when client entities become dormant or active.
cl_dota_alt_unit_movetodirection; 0; cl, a; Does holding alt enable move to direction mode?
cl_dota_cd_captain_pick_time; 10; cl, cheat; 
cl_dota_dump_econ_item_stringtable; cmd; ; 
cl_dota_dump_modifier_stringtable; cmd; ; 
cl_dota_gridnav_show; 0; cl, cheat; 
cl_dota_recent_games_include_custom_games; 0; cl, a; 
cl_dota_recent_games_include_practice_matches; 0; cl, a; 
cl_dota_recent_games_show_ranked_mmr_change; 1; cl, a; 
cl_dota_showents; cmd; ; Dump entity list to console.
cl_dota_speech_announcer_holiday; 0; cl; Set to enable special seasonal announcer
cl_dota_speech_spec_ancientattack; 1; cl; Set to 0 to prevent hearing 'your ancient is under attack' lines.
cl_dota_speech_spec_barracksattack; 1; cl; Set to 0 to prevent hearing 'your rax is under attack' lines.
cl_dota_speech_spec_barracksfalls; 1; cl; Set to 0 to prevent hearing 'your rax has fallen' lines.
cl_dota_speech_spec_enemybasefalls; 1; cl; Set to 0 to prevent hearing 'enemy's tower/rax has fallen' lines.
cl_dota_speech_spec_idles; 1; cl; Set to 0 to prevent hearing announcers' idle lines.
cl_dota_speech_spec_towerattack; 1; cl; Set to 0 to prevent hearing 'your tower is under attack' lines.
cl_dota_speech_spec_towerfalls; 1; cl; Set to 0 to prevent hearing 'your tower has fallen' lines.
cl_downloadfilter; 0; a; Determines which files can be downloaded from the server (all, none, nosounds)
cl_drawcross; cmd; ; Draws a cross at the given location  Arguments: x y z
cl_drawhud; 1; cl, cheat; Enable the rendering of the hud
cl_drawline; cmd; ; Draws line between two 3D Points.  Green if no collision  Red is collides with something  Arguments: x1 y1 z1 x2 y2 z2
cl_drawmaterial; 0; cl, cheat; Draw a particular material over the frame
cl_drawmonitors; 1; cl; 
cl_dump_particle_stats; cmd; ; dump particle profiling info to particle_profile.csv
cl_dumpentity; cmd; ; Dumps info about an entity
cl_dumpsplithacks; cmd; ; Dump split screen workarounds.
cl_ejectbrass; 1; cl; 
cl_enable_remote_splitscreen; 0; cl; Allows viewing of nonlocal players in a split screen fashion
cl_ent_absbox; cmd; ; Displays the total bounding box for the given entity(s) in green.  Some entites will also display entity specific overlays.  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_attachments; cmd; ; Displays the attachment points on an entity.  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_bbox; cmd; ; Displays the movement bounding box for the given entity(ies) in orange.  Some entites will also display entity specific overlays.  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_call; cmd; ; ent_call <funcname> <option:entname> calls function on current look target or filtername, checks on ent, then root, then mode, then map scope
cl_ent_clear_debug_overlays; cmd; ; Clears all debug overlays
cl_ent_find; cmd; ; Find and list all entities with classnames or targetnames that contain the specified substring. Format: find_ent <substring> 
cl_ent_find_index; cmd; ; Display data for entity matching specified index. Format: find_ent_index <index> 
cl_ent_grab; cmd; ; grabs the object in front of the player. Options: -loose -multiple -toggle
cl_ent_hitbox; cmd; ; Displays the hitboxes for the given entity(ies).  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_joints; cmd; ; Displays the joint names + axes an entity.  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_messages; cmd; ; Toggles input/output message display for the selected entity(ies).  The name of the entity will be displayed as well as any messages that it sends or receives.  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at
cl_ent_name; cmd; ; Displays the entity name
cl_ent_picker; cmd; ; Toggles 'picker' mode.  When picker is on, the bounding box, pivot and debugging text is displayed for whatever entity the player is looking at.  Arguments: full - enables all debug information
cl_ent_pivot; cmd; ; Displays the pivot for the given entity(ies).  (y=up=green, z=forward=blue, x=left=red).   Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_pivot_size; 20; cl, a, cheat; 
cl_ent_remove; cmd; ; Removes the given entity(s)  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_remove_all; cmd; ; Removes all entities of the specified type  Arguments:    {entity_name} / {class_name} 
cl_ent_scale; cmd; ; Scales entities. Arguments: <scale factor> {entity_name} / {class_name} / no argument picks what player is looking at
cl_ent_script_dump; cmd; ; Dumps the names and values of this entity's script scope to the console  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_select; cmd; ; Select or deselects the given entities(s) for later manipulation  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_setname; cmd; ; Sets the targetname of the given entity(s)  Arguments:    {new entity name} {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_show_contexts; 0; cl, cheat; Show entity contexts in ent_text display
cl_ent_showonlyattachment; 0; cl, cheat; 
cl_ent_showonlyhitbox; -1; cl, cheat; 
cl_ent_skeleton; cmd; ; Displays the skeleton for the given entity(ies).  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_text; cmd; ; Displays text debugging information about the given entity(ies) on top of the entity (See Overlay Text)  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_text256; cmd; ; Displays text debugging information about the given entity(ies) [within 256 units of the player] on top of the entity (See Overlay Text)  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_text_clear; cmd; ; Hide text debugging information about the given entity(ies) on top of the entity (See Overlay Text)  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_text_filter; cmd; ; Set which ent_text filters you want: 
cl_ent_text_flags_active; -1; cl, cheat; 
cl_ent_text_no_name_really_i_mean_it; 0; cl, cheat; 
cl_ent_text_radius; cmd; ; Displays text debugging information about the given entity(ies) [near the player] on top of the entity (See Overlay Text)  2 Arguments:    Radius, {entity_name/class_name/ no argument picks what player is looking at}
cl_ent_text_sticky_add; cmd; ; Adds to list of names to display text debugging information about the given entity(ies) on top of the entity (See Overlay Text)  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_text_sticky_clear; cmd; ; Clears the list of names to display text debugging information about the given entity(ies) on top of the entity (See Overlay Text)  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_text_sticky_dump; cmd; ; Spews the list of names to display text debugging information about the given entity(ies) on top of the entity (See Overlay Text)  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_text_sticky_remove; cmd; ; Removes from the list of names to display text debugging information about the given entity(ies) on top of the entity (See Overlay Text)  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_ungrab; cmd; ; un-grabs all objects
cl_ent_vcollide_wireframe; cmd; ; Displays the interpolated vcollide wireframe pm am entity.  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_ent_viewoffset; cmd; ; Displays the eye position for the given entity(ies) in red.  Arguments:    {entity_name} / {class_name} / no argument picks what player is looking at 
cl_entityreport; cmd; ; Reports all extant entities. Optional 2nd arg is a substring of a classname that the list will be filtered by.
cl_entitysummary; cmd; ; Summarizes (by class) all extant entities. Optional 2nd arg is a substring of a classname that the list will be filtered by.
cl_ents; cmd; ; List client entities, sorted by spawn group
cl_extrapolate; 0; cl, cheat; Enable/disable extrapolation if interpolation history runs out.
cl_extrapolate_amount; 0; cl, cheat; Set how many seconds the client will extrapolate entities for.
cl_fasttempentcollision; 5; cl; 
cl_flex_cycler_think_interval; 0; cl; 
cl_flex_expression; 0; cl; 
cl_flex_talk; 0; cl; 
cl_flushentitypacket; 0; cheat; For debugging. Force the engine to flush an entity packet.
cl_forwardspeed; 450; cl, cheat; 
cl_fow_viz; cmd; ; FoW viz commands
cl_fullupdate; cmd; ; Force uncompressed update
cl_globallight_debug; 0; cl; 
cl_globallight_depth_bias; -999; cl; 
cl_globallight_expansion; 200; cl; 
cl_globallight_freeze; 0; cl; 
cl_globallight_orig_calc_frustum; 1; cl; 
cl_globallight_shadow_mode; 0; cl; 
cl_globallight_slope_scale_depth_bias; -999; cl; 
cl_globallight_use_alt_focus_region; 0; cl; 
cl_globallight_use_optimized_calc_frustum; 1; cl; 
cl_globallight_world_bottom_height; 0; cl; 
cl_globallight_world_top_height; 4096; cl; 
cl_glow_brightness; 1; cl, cheat; Brightness of player halos
cl_glow_item_far_b; 1; cl, release; 
cl_glow_item_far_g; 0; cl, release; 
cl_glow_item_far_r; 0; cl, release; 
cl_glow_physics_props; 0; cl; 
cl_groups; cmd; ; Show status of all spawn groups.
cl_hitbox_debug; 0; cl; 
cl_ideal_spec_mode; 5; cl, user, server_can_execute; desired spectator mode (4 = in-eye, 5 = chase, 6 = roaming)
cl_ignorepackets; 0; cheat; Force client to ignore packets (for debugging).
cl_interp; 0; cl, user; Sets the interpolation amount (bounded on low side by server interp ratio settings).
cl_interp_all; 0; cl; Disable interpolation list optimizations.
cl_interp_animationvars; 1; cl; Interpolate LATCH_ANIMATION_BIT vars if interpolation interval is greater than simulation interval
cl_interp_hermite; 1; cl, cheat; Set to zero do disable hermite interpolation.
cl_interp_npcs; 0; cl; Interpolate NPC positions starting this many seconds in past (or cl_interp, if greater)
cl_interp_ratio; 1; cl, user; Sets the interpolation amount (final amount is cl_interp_ratio / cl_updaterate).
cl_interp_simulationvars; 1; cl; Interpolate LATCH_SIMULATION_BIT vars if interpolation interval is greater than animation interval
cl_interp_threadmodeticks; 0; cl; Additional interpolation ticks to use when interpolating with threaded engine mode set.
cl_interpolate_report; 0; cl, a; Enable to skip client-side animation
cl_jiggle_bone_debug; 0; cl, cheat; Display physics-based 'jiggle bone' debugging information
cl_jiggle_bone_debug_pitch_constraints; 0; cl, cheat; Display physics-based 'jiggle bone' debugging information
cl_jiggle_bone_debug_yaw_constraints; 0; cl, cheat; Display physics-based 'jiggle bone' debugging information
cl_jiggle_bone_invert; 0; cl, cheat; 
cl_jiggle_bone_sanity; 1; cl; Prevent jiggle bones from pointing directly away from their target in case of numerical instability.
cl_lagcomp_errorcheck; 0; cl; Player index of other player to check for position errors.
cl_lagcompensation; 1; cl, user; Perform server side lag compensation of weapon firing events.
cl_language; 0; user; 
cl_latch_report; 0; cl, a; Enable to skip client-side animation
cl_leveloverview; 0; cl, cheat; 
cl_leveloverviewmarker; 0; cl, cheat; 
cl_lightquery_debug; 0; cl, cheat; 
cl_massreport; 0; cl; 
cl_mouseenable; 1; cl, release; 
cl_mouselook; 1; cl, a, user, ss, disconnected; Set to 1 to use mouse for look, 0 for keyboard look. Cannot be set while connected to a server.
cl_mouselook2; 1; cl, a, user, ss_added, disconnected; Set to 1 to use mouse for look, 0 for keyboard look. Cannot be set while connected to a server.
cl_net_showeventlisteners; 0; cl; Show listening addition/removals
cl_net_showevents; 0; cl; Dump game events to console (1=client only, 2=all).
cl_observercrosshair; 1; cl, a; 
cl_overdraw_test; 0; cl, numeric, cheat; 
cl_panelanimation; cmd; ; Shows panel animation variables: <panelname | blank for all panels>.
cl_panorama_script_help; cmd; ; Display Panorama JavaScript bindings
cl_panorama_script_help_2; cmd; ; Display all registered Panorama JavaScript bindings in wiki syntax
cl_particle_batch_mode; 1; ; 
cl_particle_fallback_base; 0; ; Base for falling back to cheaper effects under load.
cl_particle_fallback_multiplier; 0; ; Multiplier for falling back to cheaper effects under load.
cl_particle_max_count; 0; ; 
cl_particle_retire_cost; 0; cheat; 
cl_particle_sim_fallback_base_multiplier; 5; ; How aggressive the switch to fallbacks will be depending on how far over the cl_particle_sim_fallback_threshold_ms the sim time is.  Higher numbers are more aggressive.
cl_particle_sim_fallback_threshold_ms; 6; ; Amount of simulation time that can elapse before new systems start falling back to cheaper versions
cl_particle_simulate; 1; cheat; Enables/Disables Particle Simulation
cl_particles_debug_showparticles; 0; cheat; 
cl_particles_dump_effects; cmd; ; 
cl_particles_dumplist; cmd; ; Dump all new particles, optional name substring.
cl_pause_animate; 0; cl, a; 1 = Animates the pause text so that you can be sure the game isn't just hard locked.
cl_pclass; 0; cl, cheat; Dump entity by prediction classname.
cl_pdump; -1; cl, cheat; Dump info about this entity to screen.
cl_phys_block_dist; 1; cl; 
cl_phys_block_fraction; 0; cl; 
cl_phys_create_agg_iters; 0; cl; 
cl_phys_debug_callback_entities; 0; cl; Print all entities that get touch callbacks. Each entity is printed only once.
cl_phys_dump_intersection_controller; cmd; ; Dump intersection controller status
cl_phys_list; cmd; ; List all physics component contents of every entity in the game,     -allents: include non-physical entities     -classes: print class names     -sdk    : Rubikon build     -world  : current state of the world     -world -touch: list body pairs (bodies in contact)     -world -save <name>: save world to a file     -world -mem: memory dump     -world -snapshots: Start/Stop dumping snapshots of the world into the current directory     -world -profiletraces: ProfileRecordedTraces     -world -agg: current aggregate data registry (loaded resources)
cl_phys_rendergeo; cmd; ; Toggles client physics debug geometry
cl_phys_sleep_enable; 1; cl, cheat; Enable sleeping for dynamic physics bodies.
cl_phys_timescale; 1; cl; Scale time for physics
cl_phys_visualize_awake; 0; cl; 
cl_physics_highlight_active; cmd; ; Turns on the absbox for all active physics objects.   0 : un-highlight. 
cl_physics_report_active; cmd; ; Lists all active physics objects   -more : extra info 
cl_pitchdown; 89; cl, cheat; 
cl_pitchspeed; 225; cl; 
cl_pitchup; 89; cl, cheat; 
cl_playback_screenshots; 0; ; Allows the client to playback screenshot and jpeg commands in demos.
cl_playerspraydisable; 0; cl, a; Disable player sprays.
cl_portrait_bg_translucent_test; 0; cl, cheat; Renders the hero on a gray background for translucency blending testing
cl_precacheinfo; cmd; ; Show precache info (client).
cl_pred_doresetlatch; 0; cl; 
cl_pred_error_verbose; 0; cl; Show more field info when spewing prediction errors.
cl_pred_optimize; 2; cl; Optimize for not copying data if didn't receive a network update (1), and also for not repredicting if there were no errors (2).
cl_pred_track; cmd; ; <entindex> <fieldname>:  Track changes to entity index entindex, for field fieldname.
cl_predict; 0; cl, user, cheat; Perform client side prediction.
cl_predictioncopy_describe; cmd; ; Describe datamap_t for entindex
cl_predictioncopy_print; cmd; ; Print simple description of prediction copy fields for entindex
cl_predictioncopy_runs; 1; cl; 
cl_predictionlist; 0; cl, cheat; Show which entities are predicting 
cl_predictweapons; 1; cl, user; Perform client side prediction of weapon effects.
